t,point_0_x,point_0_y,x1,y1,x2,y2
0,888.717,487.18362,1172.6135,639.11304,1167.4622,874.51086
1,888.7491,487.14536,1172.5898,639.14276,1167.4781,874.5285
2,888.91406,487.01895,1172.7369,639.12476,1167.4471,874.62274
3,888.9725,486.9119,1172.8315,639.2142,1167.491,874.7815
4,888.8949,486.8191,1172.3322,639.23517,1167.4844,874.9315
5,888.87463,486.93073,1171.9008,639.59814,1167.8912,875.57965
6,888.79364,487.15448,1171.4229,640.26306,1168.0134,876.29065
7,888.83527,487.32288,1170.6884,641.25934,1167.8641,877.39136
8,888.5627,487.41653,1169.8378,642.25415,1167.8412,879.69
9,888.68335,487.48807,1168.2534,645.19244,1167.4888,882.4004
10,888.5744,487.33258,1166.0785,647.7109,1167.8376,884.3065
11,888.60583,487.29257,1163.9454,650.38995,1168.2822,886.59717
12,888.7176,487.20264,1161.8785,654.2464,1168.3707,889.51215
13,888.8069,487.22083,1159.3792,659.04443,1167.4882,893.664
14,888.99176,487.52783,1154.3118,667.0761,1167.7855,900.85675
15,888.94464,487.29904,1153.3766,667.7388,1168.1002,901.2412
16,888.71204,487.20728,1149.3984,672.97955,1167.9092,906.2657
17,888.93494,487.41537,1142.7815,683.96185,1167.2842,915.8879
18,889.01794,487.40298,1142.3075,684.50287,1167.3975,916.0937
19,888.8707,487.65936,1131.5897,696.54675,1166.8165,927.1837
20,888.96924,487.63556,1130.8901,697.1183,1167.254,927.3426
21,888.7711,487.29504,1124.1669,702.1941,1166.9934,931.2566
22,888.9005,487.32614,1114.1908,717.25964,1165.463,941.13684
23,888.86896,487.35287,1113.5522,717.5707,1165.7823,941.3879
24,888.88226,487.06708,1097.8704,727.9617,1165.0425,951.6376
25,888.932,487.05905,1097.5051,728.37305,1165.1367,951.82336
26,888.9607,487.22528,1080.7767,742.25494,1162.6512,960.33
27,889.00806,487.2214,1079.8473,742.6934,1162.8749,960.42224
28,888.8925,487.1801,1070.0316,750.01013,1161.0028,964.19617
29,888.5178,487.2625,1048.7277,763.5686,1154.7644,971.02594
30,888.6253,487.22803,1047.949,764.26086,1155.0933,971.0396
31,888.3273,487.30014,1025.6276,774.0001,1148.3024,975.30035
32,888.4632,487.30682,1025.2228,774.7977,1148.4791,975.2217
33,888.0124,486.96756,1000.83887,784.095,1136.4304,977.7365
34,888.2946,486.84445,999.91754,784.8494,1136.5856,977.4589
35,888.4355,487.03937,987.9492,789.8075,1132.0707,977.4143
36,888.1895,487.12878,958.3694,795.99994,1116.9384,975.35736
37,888.32684,487.11404,956.3637,796.8965,1116.259,975.2235
38,888.6871,487.39398,935.06366,803.2143,1097.2812,971.7778
39,888.8934,487.3183,933.68005,804.01715,1096.9493,971.8943
40,888.4056,487.55637,908.05945,810.14294,1076.3376,968.6695
41,888.56384,487.4785,906.8647,810.0217,1076.2081,968.7381
42,888.10974,487.3917,877.7543,808.6947,1053.5906,966.7583
43,888.3987,487.3307,877.3621,807.617,1053.0629,966.5317
44,888.8655,487.31198,862.4473,805.6049,1041.1365,965.06323
45,889.0589,487.30365,837.7551,802.95105,1013.9061,962.6204
46,889.3045,487.2182,837.1615,801.87964,1013.50494,962.5673
47,888.4852,487.60788,813.40466,796.5644,985.70135,961.3274
48,888.503,487.61307,812.7017,796.0536,986.3755,960.8546
49,888.6347,487.6896,800.769,794.7268,969.3627,960.84485
50,888.234,487.50247,778.82715,786.8404,938.8352,960.79474
51,888.4997,487.58157,777.9553,785.6606,937.95496,961.36725
52,888.026,487.60324,756.2498,777.1594,906.4334,961.78265
53,888.2085,487.65778,755.18854,776.0484,905.4807,962.28534
54,888.4303,487.70972,737.23456,766.8375,870.8315,962.5304
55,888.5595,487.81546,736.5608,765.74396,869.0498,962.5621
56,888.1902,487.64453,714.7524,754.63226,830.7633,961.607
57,888.12866,487.66827,714.2936,753.62146,829.95,961.5314
58,888.8068,488.04337,708.8561,750.69293,809.3867,960.7655
59,888.42773,487.50174,695.71564,740.0251,771.9248,958.4027
60,888.5362,487.55215,695.3131,738.7181,771.3318,958.87585
61,888.2952,487.28937,681.3794,728.5898,730.3626,957.5825
62,888.66034,487.24603,680.60284,727.56024,730.32825,957.9079
63,888.1057,486.99323,671.0529,720.5061,689.2024,952.51624
64,888.0675,487.072,671.58545,720.1217,689.3663,952.45197
65,887.9268,487.51553,665.353,717.515,667.31085,948.655
66,888.14276,487.75952,663.72864,714.9951,647.6086,942.85443
67,887.8701,487.79086,660.0103,710.57513,625.5759,938.30646
68,887.83386,487.8836,656.5076,707.8151,605.97943,930.4453
69,887.8508,487.95297,654.099,705.3847,583.73596,922.007
70,888.0352,487.87878,652.2157,703.3946,564.76135,914.6983
71,888.2022,487.66394,651.10925,701.3456,546.14417,904.75305
72,888.20776,487.7762,651.4563,701.3977,526.7203,894.8358
73,888.07904,487.7882,650.4202,699.4175,510.2083,883.33417
74,888.361,487.86835,650.0345,699.3376,492.1143,869.37775
75,888.2811,487.6126,649.83575,697.45844,478.48917,855.2405
76,888.3383,487.56342,650.1817,697.6434,478.23062,854.80554
77,888.2022,487.46738,649.31757,696.909,451.82562,824.74896
78,888.2725,487.3527,649.0516,697.88257,442.4747,806.6001
79,888.2896,487.25452,649.5726,698.79144,442.54855,806.55444
80,888.26733,487.2383,652.6597,701.5466,429.27466,774.29474
81,888.3418,487.1216,653.0478,701.28674,429.53693,774.59784
82,888.6585,487.23145,655.50323,704.2952,422.89398,740.88275
83,888.44714,487.4968,656.44,706.0151,420.41254,725.21405
84,888.34827,487.36127,657.1457,706.97614,420.87592,724.92065
85,888.4669,487.26392,661.1177,711.73145,423.0659,692.8533
86,888.38495,487.16806,661.6928,712.9354,424.20718,692.8837
87,888.32886,487.1891,666.8691,716.68854,431.2513,663.6113
88,888.28723,487.21484,668.6954,717.359,440.21634,651.4024
89,888.27295,487.18015,669.3661,717.6459,440.33627,651.3782
90,888.1308,487.09827,669.78937,717.384,440.51202,651.2548
91,888.64734,487.6406,678.48834,727.3103,462.88083,618.1552
92,888.5915,487.37158,682.1854,729.2654,474.25714,608.997
93,888.1966,487.23514,683.06323,729.9846,474.7728,608.71765
94,888.5622,487.68546,688.55994,735.13776,499.59048,594.8484
95,888.3224,487.51645,689.48114,737.08276,500.2754,594.511
96,888.06995,487.73853,699.7048,742.3652,519.8618,583.16766
97,888.5297,488.0324,706.24115,746.6505,533.39435,577.086
98,889.0723,487.99213,713.9294,752.3715,557.674,569.2754
99,888.99854,487.931,714.1717,753.46155,558.3197,569.05865
100,889.2699,488.10068,727.2995,761.7046,585.3865,568.92554
101,889.1353,488.0729,728.56866,763.56934,586.216,568.8086
102,888.91235,487.71555,742.8229,771.94934,610.245,566.9195
103,888.7042,487.6713,744.1426,773.0427,610.7367,566.8436
104,888.38904,487.45923,759.99365,777.53424,637.1557,567.8941
105,888.6111,487.48904,760.2347,777.8837,637.2031,567.79364
106,888.51135,487.6243,769.17004,783.01544,649.1913,569.2961
107,888.6647,487.43326,785.77374,787.7623,671.07605,572.7795
108,888.40845,487.3935,786.4137,789.178,671.8729,573.02795
109,888.56525,487.54865,804.21655,793.0687,696.3552,576.3489
110,888.4047,487.4848,804.65576,794.0888,697.3997,576.7794
111,888.65967,487.13773,822.64667,798.69183,716.6772,580.3406
112,888.5058,487.18323,822.6198,799.90784,716.9471,580.7269
113,888.3554,487.1355,834.86255,801.7981,728.0406,583.0011
114,888.4661,487.39294,851.0155,803.4865,746.68256,586.83875
115,888.27386,487.32867,851.3971,803.3811,747.3066,587.2212
116,888.31506,487.41043,874.9837,807.0551,766.0899,591.6006
117,888.1876,487.3531,876.171,806.8583,766.853,591.8472
118,888.1453,487.29584,876.2412,806.2989,767.12744,592.0218
119,887.8677,487.557,897.51495,805.11664,782.6279,593.7824
120,888.0903,487.8143,909.07965,807.387,790.5566,596.7085
121,888.2516,487.73972,910.46375,806.22943,790.8679,597.01776
122,888.8151,487.9311,934.74115,801.1212,803.80756,599.438
123,888.6855,487.8631,936.50464,799.6363,804.2952,599.80164
124,888.0996,487.68353,954.52106,795.92676,815.205,602.6467
125,888.4135,487.4949,967.271,793.5878,821.1374,605.00964
126,888.0748,487.72162,979.0155,791.45874,825.4169,606.59985
127,888.0341,487.58478,988.8865,786.7953,829.9387,608.5075
128,888.0383,487.52344,998.8538,784.3569,834.2872,611.99536
