t,point_0_x,point_0_y,x1,y1,x2,y2
0,877.44104,455.17728,1041.33,173.07272,1035.5219,417.1397
1,877.465,455.18726,1041.3297,173.07834,1035.4777,417.21408
2,877.4308,455.31256,1041.2368,173.20123,1035.3154,417.48117
3,877.5178,455.34454,1041.3689,173.12671,1035.4893,417.44543
4,877.50104,455.35904,1041.3618,173.11833,1035.5079,417.426
5,877.43256,455.2637,1041.227,173.07101,1035.4495,417.3656
6,877.4408,455.23636,1041.2076,173.06229,1035.4382,417.36346
7,877.55804,455.26877,1041.1366,173.08981,1035.5353,417.38528
8,877.4714,455.18997,1041.15,173.04143,1035.5446,417.29813
9,877.51117,455.31717,1041.0809,173.11722,1035.3617,417.40643
10,877.54553,455.3553,1041.0626,173.13423,1035.3358,417.4392
11,877.4351,455.4439,1040.859,173.17325,1035.3308,417.5037
12,877.4254,455.38583,1040.894,173.01474,1035.2499,417.18893
13,877.36523,455.42633,1040.8389,173.05838,1035.1527,417.11185
14,877.3058,455.22153,1040.737,172.93285,1035.1971,417.04416
15,877.2177,455.14597,1040.6514,172.8898,1035.1285,417.0845
16,877.18774,455.1701,1040.4386,172.89868,1035.1804,417.20343
17,877.11835,455.2677,1040.4705,172.96762,1035.1187,417.41483
18,877.2036,455.1749,1040.473,172.84727,1034.9642,417.25146
19,877.44434,455.128,1040.5912,172.7668,1035.1333,417.0377
20,877.46655,455.1921,1040.5111,172.82558,1035.1348,417.1033
21,877.4247,455.18164,1040.458,172.84962,1035.0349,417.0327
22,877.42975,455.17365,1040.4344,172.83104,1034.9773,417.01944
23,877.5053,455.19653,1040.4126,172.85413,1034.8708,416.96564
24,877.20544,455.20673,1040.9498,172.96011,1034.9146,417.05597
25,877.204,455.1799,1040.9429,173.0822,1034.8037,417.1844
26,877.34985,455.26917,1041.6759,173.51717,1034.6552,417.64703
27,877.37085,455.21494,1041.7778,173.53474,1034.549,417.7438
28,877.2873,455.39038,1042.5463,173.90924,1034.0475,418.58554
29,877.2385,455.3054,1042.6846,173.93669,1033.8938,418.75565
30,877.22,455.3335,1043.772,174.07007,1033.9827,419.30246
31,877.10266,455.48392,1045.4791,175.06813,1033.7407,420.03903
32,877.1227,455.39648,1046.0796,175.2692,1033.8885,420.10303
33,877.14734,455.33875,1050.424,176.30272,1033.8574,421.4487
34,877.0566,455.1516,1050.804,176.26593,1033.626,421.7132
35,877.193,455.49088,1054.4113,179.34029,1034.3268,424.17322
36,877.0377,455.26614,1054.9343,179.45227,1034.2678,424.45575
37,877.27856,455.68692,1058.3033,184.3423,1034.1726,427.25482
38,877.13727,455.38608,1058.8873,184.52806,1033.8577,427.71692
39,877.4297,455.79056,1065.0464,189.16489,1033.8096,431.8169
40,877.5357,455.48926,1065.2134,189.21774,1033.7229,432.30856
41,877.5566,455.39774,1070.1836,192.38567,1034.5278,435.38443
42,877.9247,455.5142,1077.4956,198.91591,1035.3633,439.6856
43,877.72766,455.28656,1078.6005,199.14491,1035.3456,440.09286
44,877.7581,455.57968,1087.789,207.85538,1037.0548,447.40164
45,877.51843,455.3912,1088.5629,208.00276,1036.781,447.70868
46,877.7343,455.28952,1093.4913,211.84142,1035.9891,450.24017
47,877.7717,455.73938,1104.3063,222.3693,1038.2067,456.4214
48,877.88947,455.4615,1103.498,222.34146,1038.725,456.49783
49,878.1088,455.44528,1115.2513,236.77203,1039.9573,466.27405
50,877.948,455.34125,1116.353,237.36632,1039.5782,466.74033
51,878.3075,455.79068,1127.6957,250.81413,1041.3585,477.46695
52,877.9469,455.53745,1128.9092,251.10254,1041.0984,477.82532
53,877.5603,455.4537,1133.1316,258.51364,1042.2976,482.30096
54,877.85175,455.4985,1146.0505,276.1553,1044.0312,493.5732
55,877.5453,455.27182,1147.1703,276.3901,1043.7107,494.1029
56,878.0095,455.1358,1159.9392,297.45935,1045.8279,510.27176
57,877.8601,455.1437,1160.6461,297.68484,1045.4911,510.65573
58,878.34937,455.37732,1168.7249,319.6094,1046.1389,526.9183
59,878.1654,455.00668,1170.4214,319.88983,1046.0885,527.5013
60,878.4546,455.44666,1179.5569,345.39642,1048.5887,545.3682
61,878.35236,455.16095,1180.9191,345.6755,1048.3201,545.7514
62,878.2671,455.5411,1186.3774,372.826,1049.3903,569.81775
63,878.2389,455.35544,1187.704,373.86087,1049.2372,570.33386
64,878.3583,455.384,1192.5254,389.58725,1049.4617,582.12494
65,878.14716,455.391,1193.2952,389.61533,1049.1403,582.3046
66,878.2084,455.709,1196.3395,421.72473,1050.4159,610.0039
67,877.96655,455.3821,1196.8154,422.245,1050.2412,610.4813
68,878.3434,455.36658,1198.5251,456.09283,1050.5887,642.5353
69,878.0107,455.07666,1198.3197,457.32147,1050.2203,643.2443
70,878.01227,455.67874,1196.9283,491.36813,1047.4044,679.6047
71,877.80945,455.8613,1193.2473,509.0097,1046.231,696.6631
72,877.87006,455.38684,1189.2878,530.4451,1044.1178,719.66626
73,878.0954,455.23724,1183.58,549.35565,1042.5907,740.366
74,877.7815,455.4234,1175.1185,570.69403,1039.2883,762.4078
75,878.03235,455.58566,1167.1252,590.43475,1036.4297,785.1114
76,878.5026,455.6134,1157.7809,610.52716,1033.8258,810.9978
77,878.2935,455.34482,1145.9974,628.22534,1032.0023,834.1504
78,878.54645,455.45453,1133.2268,647.32574,1029.5837,857.4899
79,878.7129,455.4061,1117.5027,663.4779,1027.9255,880.82153
80,878.22906,455.3691,1099.1407,679.7169,1025.5132,902.6259
81,878.1236,455.80322,1081.0795,695.43823,1026.4545,927.6175
82,878.4226,455.5376,1061.8115,710.13776,1026.8914,945.69086
83,878.5107,455.49036,1060.3342,709.9028,1027.0726,946.03125
84,878.5369,455.64127,1014.4928,736.5658,1027.3594,973.8568
85,878.04663,455.65506,987.1822,748.21857,1029.2817,982.4109
86,878.1332,455.713,985.062,749.3839,1029.6083,982.3324
87,878.3125,455.7732,934.07526,759.02625,1028.041,982.94226
88,878.17065,455.75552,931.16797,759.35187,1028.321,982.4874
89,878.1781,455.3894,878.00275,767.4981,1018.2771,962.60895
90,878.09106,455.45422,878.32764,766.81903,1018.5715,962.404
91,878.4835,455.52838,826.1007,764.3957,999.77216,930.1886
92,878.44305,455.45856,825.7196,763.9879,999.5822,929.7183
93,877.98883,455.3563,775.9549,751.4861,968.2739,893.05475
94,877.7282,455.44327,751.1856,742.3973,951.84564,874.7615
95,877.8139,455.3241,750.6022,741.7948,952.1825,873.36053
96,877.7925,455.5011,704.21423,718.1583,915.934,835.51074
97,877.74744,455.41855,703.4067,717.7756,916.24,835.40765
98,877.5246,455.12622,663.30225,689.08997,879.0347,801.8177
99,877.35895,455.5125,629.27765,654.9166,846.0442,770.0598
100,877.58594,455.44394,630.4352,655.1612,846.8499,770.4308
101,877.6998,455.4115,602.96515,616.2939,812.3256,743.1023
102,877.9666,455.38257,602.97266,615.311,812.0703,743.60785
103,877.99634,455.76553,594.2797,597.195,796.154,729.6458
104,877.7763,455.4428,574.04,555.63824,767.2844,707.7959
105,877.95605,455.415,574.2452,554.8429,766.8772,707.8975
106,877.72485,455.7219,563.5887,515.6226,734.6045,689.7866
107,878.01685,455.61996,563.4501,514.9094,734.0832,690.2366
108,877.72534,455.60562,561.3524,496.47394,718.3327,682.49615
109,877.33734,455.17526,559.5012,456.77957,688.0443,662.8914
