t,point_0_x,point_0_y,x1,y1,x2,y2
0,966.5514,452.02377,1123.4335,724.0612,1117.3419,951.45905
1,966.675,451.96475,1123.2396,724.12396,1117.2963,951.6322
2,966.4661,452.09882,1121.2328,723.93756,1117.394,952.3796
3,966.1354,452.7312,1117.0471,726.2987,1117.5062,954.4912
4,966.47797,452.4397,1116.0326,726.7567,1117.4785,954.78674
5,965.96936,452.76938,1109.36,730.21985,1117.2246,958.9954
6,966.2115,452.3935,1108.4264,730.66205,1117.4816,959.64465
7,965.9933,452.89172,1102.7944,735.4623,1117.3672,962.2666
8,966.1133,452.3833,1102.2382,736.1176,1117.8698,962.74994
9,965.8929,452.69632,1092.9148,737.95953,1116.5327,964.75275
10,966.1612,452.50943,1092.1293,738.2202,1116.7784,964.73883
11,966.1313,452.3607,1087.9252,739.1528,1117.0032,965.19836
12,965.5419,452.4361,1077.8851,743.39246,1114.8774,967.4415
13,965.8252,452.07794,1076.9628,743.83655,1115.455,967.34174
14,965.4308,452.4163,1066.3126,747.35516,1114.737,968.1165
15,965.6491,452.1116,1065.2623,747.6782,1115.1594,967.8451
16,965.6607,452.39032,1055.0388,750.0215,1112.1509,969.9548
17,965.7392,452.3576,1054.861,750.2511,1112.1157,970.104
18,965.8224,452.54126,1048.066,751.1042,1109.928,970.3078
19,965.7153,452.74033,1035.1382,754.2248,1105.6576,971.1867
20,966.064,452.54507,1033.9783,754.7888,1105.8615,970.68933
21,966.1778,452.87854,1021.96576,757.4698,1101.6847,971.1652
22,966.4546,452.6634,1020.8586,757.8685,1101.8082,970.2972
23,966.0885,452.35425,1008.8454,759.4939,1095.3245,967.6923
24,966.3919,452.29388,1007.96594,759.56384,1095.965,966.7704
25,966.3166,452.0418,1001.6935,759.517,1091.9803,967.056
26,966.30444,451.99432,996.3925,759.4519,1088.2306,966.7897
27,966.4439,451.8627,989.05963,758.61005,1084.7227,965.40497
28,966.49664,451.9193,981.1159,758.3376,1078.6216,965.19275
29,966.2125,451.91174,972.00397,759.4761,1073.388,964.3645
30,966.04004,451.68008,965.92395,760.12787,1069.1794,963.72723
31,965.9305,451.8784,956.31744,760.2306,1062.2817,962.99567
32,966.2607,451.70273,949.7968,758.7843,1057.1521,961.57965
33,966.65076,451.8454,942.15063,758.32513,1050.4486,960.41656
34,966.5561,451.7955,937.3258,758.0228,1045.2944,959.9368
35,966.4092,451.7569,932.17395,758.39307,1038.3972,958.33307
