t,point_0_x,point_0_y,x1,y1,x2,y2
0,888.4996,419.17725,1164.5724,250.19545,1159.2888,491.2248
1,888.5383,419.20178,1164.5115,250.16441,1159.3063,491.22427
2,888.6755,419.24493,1164.3895,249.94432,1159.2417,491.22003
3,888.7208,419.28702,1164.3617,249.91011,1159.2219,491.22424
4,888.7804,419.3498,1164.4198,249.8966,1159.1041,491.22174
5,888.8191,419.30722,1164.4103,249.63094,1159.1581,491.07877
6,888.8165,419.23788,1164.4211,249.67027,1159.2188,491.03015
7,888.79254,419.23065,1164.41,249.6778,1159.2006,490.9974
8,888.6125,419.07755,1164.3743,249.68079,1159.2915,490.95663
9,888.73334,419.14288,1164.0245,249.79973,1159.3601,491.0107
10,888.7303,419.25043,1164.0219,249.80583,1159.3265,491.08087
11,888.83295,419.23212,1163.9446,249.81218,1159.3779,491.02722
12,888.8076,419.30286,1163.8677,249.75099,1159.297,491.08713
13,888.79285,419.3133,1164.0111,249.86552,1159.449,491.1712
14,888.881,419.2906,1164.117,249.85522,1159.5242,491.14166
15,888.8833,419.23428,1164.1115,249.89635,1159.4943,491.15442
16,888.7786,419.34995,1164.2125,249.81396,1159.5801,491.19955
17,888.71686,419.3721,1164.1168,249.7416,1159.4631,491.22537
18,888.8392,419.31458,1164.3569,249.51724,1159.418,491.27316
19,888.868,419.19263,1165.7816,249.39996,1159.4573,491.36887
20,888.88245,419.14752,1165.9393,249.42815,1159.3516,491.48828
21,888.76215,419.4085,1167.5002,250.41357,1159.108,492.8352
22,888.6984,419.2007,1167.7491,250.54198,1158.9342,493.12958
23,888.74963,419.2945,1168.6174,252.11009,1159.0535,494.52805
24,888.97095,419.30392,1169.5062,258.28088,1159.9731,498.70908
25,889.004,419.14435,1169.3982,258.82462,1159.8956,499.0345
26,889.3782,419.57693,1170.822,265.46048,1159.7084,503.98492
27,889.26385,419.3481,1171.5537,265.86465,1159.7533,504.5742
28,889.31433,419.87607,1175.0504,274.29044,1158.3591,512.5601
29,889.1752,419.59528,1176.1433,274.78094,1157.7922,513.3563
30,889.4557,419.51825,1178.1362,279.27023,1157.3735,518.1162
31,889.4259,419.6447,1182.9305,291.80148,1157.5702,530.2577
32,889.4685,419.44873,1184.2972,292.35324,1157.8204,530.8619
