t,point_0_x,point_0_y,x1,y1,x2,y2
84,886.4603,488.95514,591.39606,600.0024,358.34015,655.2492
85,886.58936,488.99426,591.6795,600.8907,357.25748,655.1761
86,886.5034,489.06488,589.1573,598.2441,350.0696,597.00073
87,886.6243,489.09576,589.3865,598.6139,349.61923,597.33844
88,886.5076,489.214,589.3752,596.8611,352.0355,549.74426
89,886.7531,489.0691,589.9916,596.84424,352.31226,550.3758
90,886.7358,489.2202,591.2286,596.2387,368.22302,499.2648
91,886.90967,489.28632,591.1849,597.49634,367.44888,499.3341
92,886.8221,489.24664,592.49854,596.6705,394.31573,459.48877
93,886.7043,489.13168,593.6759,599.572,409.0331,441.82144
94,886.77344,489.22885,593.4942,601.29596,409.04855,442.3559
95,886.6036,489.03146,595.5357,602.6133,444.91367,412.24167
96,886.62805,489.1408,593.4268,604.2434,443.86414,413.13373
97,886.3729,489.21652,595.9758,607.13617,487.98227,393.09015
98,886.3882,489.25726,597.5531,614.8103,532.41425,381.19495
99,886.39954,489.25308,597.2986,615.65515,532.95087,381.6163
100,886.5649,489.09402,600.7923,618.5308,580.1914,379.50162
101,886.4049,489.03546,600.0232,618.81274,580.3275,379.3162
102,886.71606,488.87863,603.8532,623.74786,604.39264,383.52194
103,887.022,488.673,606.73425,632.76794,650.5209,394.94415
104,887.0338,488.6347,604.61346,635.12036,650.4528,395.2581
105,887.32367,488.82993,608.9483,640.64307,697.6554,418.39142
106,887.3321,488.72992,608.2763,640.6464,698.1947,419.4411
107,886.4193,488.969,616.00037,649.887,743.2724,445.70413
108,886.2871,488.7953,615.6642,650.89465,744.4749,446.56345
109,886.72095,488.742,621.608,659.5484,782.2426,480.6313
110,886.4691,488.61508,621.5568,660.0858,783.7092,480.92245
111,887.2799,488.7709,625.3471,667.2659,802.3847,500.8459
112,887.07983,488.79367,626.057,669.44147,802.03424,501.2921
113,887.29974,488.91852,640.2618,689.5171,851.45245,567.94763
114,887.1685,489.0175,639.95197,689.4907,851.8138,568.03546
115,887.53107,489.41876,647.6323,696.1946,867.7537,594.5067
116,887.1946,489.3079,647.65753,696.15674,869.1086,594.3048
117,886.85333,488.75165,660.8466,710.2542,891.52014,648.0173
118,886.43646,488.644,661.9552,710.96265,892.52673,649.9335
119,886.7849,489.07202,677.4297,727.52783,910.3295,702.0942
120,887.0793,488.38324,685.65643,735.19635,923.30884,730.0499
121,887.26404,489.01172,696.95807,740.79156,932.726,759.4177
122,887.1834,489.19202,705.925,748.1741,941.1726,789.5298
123,887.2774,489.07755,716.0804,754.0785,945.8309,820.4983
124,887.48645,489.08212,727.69806,760.5079,949.2476,849.14453
125,887.3808,489.26556,741.3809,768.71436,952.98694,878.40393
126,886.6895,488.89734,755.5753,775.81006,952.1842,909.2966
127,886.8468,488.718,771.35834,782.1497,947.43256,939.0525
128,886.3493,488.85046,785.6713,787.29004,935.63074,963.4141
129,886.68005,488.83258,801.05725,793.3722,927.9748,987.1361
130,887.40845,488.32074,815.87805,796.986,919.6633,1006.4644
131,887.06226,488.50098,831.8968,803.59784,907.9504,1020.5716
132,887.10223,488.51367,833.7626,804.22705,907.5549,1021.07764
133,886.5805,488.58218,868.8717,804.5633,872.1346,1033.6558
134,886.67065,488.53696,872.1103,804.35706,871.6087,1033.766
135,887.21277,489.22903,908.5498,802.1168,838.6062,1022.6465
136,886.9769,489.0845,933.08374,799.6035,827.21454,1005.9455
137,887.1905,488.9382,935.1534,799.0702,827.13025,1005.73914
138,887.1003,488.40652,968.3785,790.96326,807.19775,961.1834
139,887.08777,488.2214,971.95325,791.0488,806.91766,961.34814
140,886.9721,488.7997,1000.80664,781.1236,802.5911,902.5514
141,886.9969,488.7237,1002.5477,780.8532,802.3442,903.1923
142,887.35144,488.79297,1029.4011,768.24054,805.6988,844.6554
143,887.28674,488.671,1031.5073,768.07623,806.32416,844.52954
144,886.77264,489.16797,1052.1061,755.2774,821.26855,787.1376
145,886.9206,489.03568,1053.7241,755.29364,821.49194,787.8534
146,886.72516,489.15762,1071.6694,740.98914,840.3682,727.3347
147,886.9201,489.35107,1083.3474,732.55176,853.9795,696.0685
148,886.98584,489.3812,1085.8378,732.58405,854.3236,695.8303
149,887.27484,489.18088,1101.8566,716.8269,881.57043,647.817
150,887.4452,489.13712,1102.6997,716.90656,882.73193,647.6464
151,887.3893,489.242,1116.3549,699.93756,908.0887,590.78375
152,887.5372,489.23856,1115.2655,701.47546,907.7586,591.01355
153,887.5767,488.91913,1129.5032,688.3707,943.3334,542.74554
154,887.8143,488.92917,1136.1797,680.728,965.21246,523.0018
155,888.0158,488.92996,1136.4342,680.6349,965.67114,522.9999
156,887.6451,488.7665,1146.1737,667.8957,997.8991,481.16696
157,887.70465,488.75568,1145.9918,668.05176,998.32214,481.56104
158,887.25916,488.63416,1152.2141,655.2162,1040.1276,448.99237
159,887.7284,488.5022,1156.1014,649.3974,1060.6261,433.76346
160,887.76935,488.6594,1153.48,649.9513,1058.5562,433.2654
161,886.73346,488.87033,1161.0952,641.08716,1103.6926,411.25006
162,887.0906,488.92673,1159.1125,640.82947,1103.9921,410.64124
163,886.9022,488.8478,1168.6743,630.6568,1148.8699,394.01837
164,887.12744,488.91776,1167.2305,630.05457,1149.2675,393.76837
165,886.9161,488.84515,1175.8243,623.9908,1193.8368,386.01187
166,886.9411,488.86697,1174.8004,623.26044,1194.0261,385.665
167,886.99445,488.8166,1179.7521,616.1717,1239.3645,386.13007
168,886.99225,488.92252,1180.1497,615.7717,1239.6078,385.181
169,887.0097,488.81934,1181.4663,614.1166,1280.528,391.21594
170,887.4356,489.22244,1183.331,611.6915,1299.1333,399.60388
171,887.37646,489.14978,1182.0237,610.6027,1299.1211,399.7907
172,886.9393,489.04443,1184.4524,606.41205,1340.1731,419.88077
173,886.8518,488.95132,1183.4384,604.90375,1341.3478,420.03088
174,886.93524,488.84067,1186.8392,601.8829,1374.8229,449.92773
175,886.88025,488.8453,1186.0385,600.4717,1376.4425,450.83994
176,886.96533,489.21964,1187.2994,600.4911,1393.2445,486.6996
177,886.9603,489.15817,1187.3324,600.00037,1393.356,486.71463
178,887.6819,489.16077,1187.9742,601.04565,1412.4128,532.34406
179,887.5882,489.08975,1187.1628,600.01965,1413.7208,534.16394
180,887.3935,488.96194,1187.4006,600.46216,1422.7631,583.6985
181,887.4863,489.15552,1187.7985,601.11237,1426.0767,610.8646
182,887.2953,488.89633,1187.013,600.9827,1422.094,633.1482
183,887.54553,488.72696,1186.9122,601.61945,1418.2731,659.82996
184,887.4241,489.0237,1184.5802,602.87085,1407.9819,687.8862
185,887.41003,488.69556,1184.1016,606.08636,1395.8989,713.73804
186,887.1118,489.11533,1182.2072,610.5235,1382.8125,739.05133
187,887.7756,488.88663,1181.6958,614.3367,1370.412,765.78955
188,887.92065,488.8879,1178.2682,617.28436,1351.7452,786.2263
189,888.0071,489.09937,1175.6674,621.8646,1327.9238,807.9284
190,887.6049,488.83423,1171.8978,627.2372,1306.4772,828.69165
191,887.3322,488.9506,1167.0964,635.1627,1282.9817,848.3974
192,887.5509,488.95242,1161.6309,641.306,1258.5657,863.2506
193,887.5333,488.96204,1162.2224,641.6199,1258.6536,863.1685
194,887.8135,488.739,1152.1995,654.09375,1207.4913,889.49176
195,887.8966,488.762,1152.7457,654.5267,1207.6327,890.2101
196,888.21295,488.918,1141.6931,670.56244,1153.5826,911.03204
197,888.6335,489.28384,1135.4526,681.5341,1125.764,918.59485
198,888.59924,489.20322,1137.3472,682.4131,1125.252,918.79114
199,887.92816,489.0584,1118.6147,696.9826,1073.221,931.1505
200,887.8662,489.00827,1117.3492,698.66815,1073.0325,930.9624
201,887.385,489.2086,1098.1608,717.7685,1021.8165,940.76544
202,887.4697,489.1949,1099.116,718.73694,1021.3459,940.7492
203,887.3628,489.5571,1075.2006,736.6635,971.36676,945.55597
204,887.77716,489.6688,1064.4495,747.2824,944.9374,945.35254
205,887.84125,489.6044,1064.5789,747.86847,943.7123,945.6002
206,887.5955,489.45587,1037.2278,764.2156,902.4808,950.7315
207,887.6273,489.3648,1037.0259,765.1433,900.8357,950.7069
208,887.0741,489.0571,1008.03687,778.23096,856.6259,954.58746
209,887.13153,489.0231,1008.11066,778.6337,856.534,954.5683
210,887.0381,488.67346,977.0071,791.07166,812.3872,959.53253
211,887.4234,489.03973,961.01117,798.38763,790.74164,961.0069
212,887.4541,489.0036,958.9458,798.55865,790.08875,961.06177
213,887.3531,488.99875,918.957,802.7192,755.01227,964.72095
214,887.4823,488.89508,915.3947,802.59973,754.2827,964.9215
215,888.02637,488.82706,878.2625,802.7077,718.1721,967.9573
216,887.88666,488.8864,876.1065,802.12524,717.6926,968.03564
217,887.3186,488.83035,844.4039,802.7611,684.9713,972.4463
218,887.30035,488.82123,842.6673,802.1103,685.23737,972.2949
219,887.25555,489.30774,806.83636,794.50085,656.5531,973.2864
220,887.34937,489.39078,788.4898,789.0847,644.1568,972.195
221,887.583,489.41495,786.1198,787.1038,643.9335,972.05975
222,886.9653,489.39932,755.6787,776.8608,623.1525,967.94946
223,887.2506,489.40717,751.1956,774.23785,622.8986,967.8551
224,887.0256,489.23535,719.868,759.4317,605.5653,960.91846
225,887.3503,489.19086,716.1318,756.78436,605.3788,961.14233
226,886.9091,489.13437,691.4577,736.3462,592.9445,950.5843
227,887.06,489.17996,687.61536,733.751,592.74664,950.35284
228,887.00903,489.00006,665.7898,711.79895,581.38293,931.25684
229,886.26447,489.1201,653.59686,700.84924,575.9858,922.2856
230,886.532,489.15457,650.94,699.062,576.0378,921.9743
231,886.60986,489.09238,632.56586,675.89197,568.7779,903.61145
232,886.68427,489.2131,628.6772,674.91565,569.01904,903.05493
233,886.33215,489.4786,616.4365,650.64343,562.57983,883.0386
234,886.47705,489.48022,614.6907,648.2835,562.58057,882.83386
235,886.61896,489.60336,604.46674,626.98334,552.7533,860.50433
236,886.8414,489.71005,603.74426,626.2989,553.00415,860.2733
